iter	RMSE
0	0.7638971017
1	0.7547221353
2	0.7459977115
3	0.737461439
4	0.7299279003
5	0.7230337749
6	0.7172237714
7	0.7122988288
8	0.7074246127
9	0.7030260387
10	0.6978090778
11	0.6937312176
12	0.6894232266
13	0.6858721267
14	0.6828398409
15	0.6795034585
16	0.6766790929
17	0.6734166364
18	0.6713944753
19	0.6684681983
20	0.6660553539
21	0.6640503401
22	0.6620028623
23	0.6601670338
24	0.6585972421
25	0.6566122796
26	0.6546697501
27	0.6532061863
28	0.6514259879
29	0.6496984457
30	0.6481392615
31	0.6467718294
32	0.6453565827
33	0.6442953764
34	0.6428064173
35	0.6417859694
36	0.6406151407
37	0.6396303008
38	0.6377133969
39	0.6368209054
40	0.6361325123
41	0.6349176149
42	0.634213138
43	0.6327150504
44	0.6321714936
45	0.6303439763
46	0.6294346292
47	0.6282491427
48	0.6277168058
49	0.6260058461
50	0.6250612854
51	0.6242806356
52	0.6233157648
53	0.6225108761
54	0.6217409342
55	0.6209053866
56	0.6200200397
57	0.6186659454
58	0.6179080295
59	0.6172113987
60	0.6165325509
61	0.6158750554
62	0.6152144396
63	0.6145799634
64	0.6136370992
65	0.6131909331
66	0.6124229742
67	0.6117625766
68	0.6109050212
69	0.6103401811
70	0.6096306946
71	0.6090879739
72	0.6079538884
73	0.6075936931
74	0.6070136701
75	0.606335568
76	0.6056556356
77	0.6050309038
78	0.6042888963
79	0.6033556762
80	0.6026347594
81	0.6021500687
82	0.6015555879
83	0.6008691181
84	0.6004014996
85	0.5998028406
86	0.599149073
87	0.5983424461
88	0.5977659602
89	0.5969201873
90	0.596075452
91	0.5951763696
92	0.5943050954
93	0.5937908378
94	0.5930208096
95	0.5924912693
96	0.5919602044
97	0.5915234886
98	0.5912661822
99	0.5910266592
100	0.5906858608
101	0.5900075521
102	0.5893022082
103	0.5886893076
104	0.5883027817
105	0.5874685512
106	0.586795925
107	0.5864165314
108	0.585517106
109	0.5851256117
110	0.5847586022
111	0.5836384027
112	0.5827167537
113	0.5824772618
114	0.5818194386
115	0.5814185643
116	0.5807737716
117	0.5803760467
118	0.5802351085
119	0.5798072791
120	0.5793458016
121	0.5787987846
122	0.5782921982
123	0.5773521066
124	0.5771624451
125	0.5765749142
126	0.57619138
127	0.5755828752
128	0.5751089992
129	0.5745742193
130	0.5741269295
131	0.573817006
132	0.5732942529
133	0.5726710621
134	0.5723412026
135	0.5720329807
136	0.5716346156
137	0.5714017663
138	0.5710806063
139	0.5705354381
140	0.5701449584
141	0.5694829173
142	0.5689699245
143	0.5684982509
144	0.5680403328
145	0.5674695423
146	0.5669236534
147	0.5664508748
148	0.5659028869
149	0.565536926
150	0.5650245595
151	0.5647603461
152	0.5643571629
153	0.5636731008
154	0.5632569102
155	0.5629476568
156	0.5624931323
157	0.5620241512
158	0.5612266636
159	0.5607440395
160	0.560009909
161	0.5595873224
162	0.5594047675
163	0.5589708768
164	0.5584478607
165	0.5577431088
166	0.557140756
167	0.5567328158
168	0.5562659953
169	0.556001595
170	0.5552134104
171	0.5545958402
172	0.5538181383
173	0.5534649332
174	0.553231278
175	0.5527140045
176	0.5522986818
177	0.5517102004
178	0.5513957447
179	0.5512054492
180	0.5509132252
181	0.5501855444
182	0.5499374785
183	0.5495244659
184	0.5491458809
185	0.5488051124
186	0.5485042879
187	0.5481820244
188	0.5479546513
189	0.5475814847
190	0.5470532685
191	0.5464642494
192	0.5459698079
193	0.5457417989
194	0.5451867216
195	0.5444872647
196	0.5440870976
197	0.5437092937
198	0.5434535505
199	0.543095791
200	0.5426602494
201	0.5424365222
202	0.5421560545
203	0.541830268
204	0.5409522407
205	0.5407684622
206	0.5400450063
207	0.539403829
208	0.5389342066
209	0.5384971135
210	0.5382604405
211	0.5380133099
212	0.5374344089
213	0.5369483353
214	0.5364310448
215	0.5361215042
216	0.5358293393
217	0.5352734393
218	0.5349547908
219	0.5347087769
220	0.5344097269
221	0.5341842571
222	0.5338716807
223	0.533640322
224	0.533196283
225	0.532867969
226	0.5325742218
227	0.5321366264
228	0.5317236223
229	0.5313007301
230	0.5310592105
231	0.5309481763
232	0.5306352788
233	0.5302512336
234	0.5297359214
235	0.5294713705
236	0.5291884473
237	0.5285627814
238	0.5281272727
239	0.5279070853
240	0.5275562649
241	0.5272222638
242	0.5268294727
243	0.5260670679
244	0.5257860085
245	0.5255240189
246	0.5252784868
247	0.5249255678
248	0.5247263449
249	0.5243361298
250	0.5236770123
251	0.523186063
252	0.5229513639
253	0.5227263853
254	0.5224137294
255	0.5221765373
256	0.5220522303
257	0.5213795203
258	0.5209635738
259	0.5204767096
260	0.5201022711
261	0.5197778929
262	0.5195674799
263	0.519131367
264	0.5188719546
265	0.5185828508
266	0.5183110329
267	0.5180869725
268	0.5177559577
269	0.5173500375
270	0.5168651194
271	0.5163186686
272	0.5161176679
273	0.5158583816
274	0.5154630355
275	0.5150775477
276	0.5146860929
277	0.5143584793
278	0.5138244146
279	0.51338909
280	0.5129362543
281	0.5125889612
282	0.5123047248
283	0.5117787072
284	0.5114775716
285	0.5112463494
286	0.5109706259
287	0.5108654436
288	0.5105013547
289	0.5102563931
290	0.5099292738
291	0.5093489377
292	0.5089195984
293	0.5086014608
294	0.508496744
295	0.5080980679
296	0.5078364265
297	0.5072866521
298	0.5071244588
299	0.5063031085
300	0.5060717059
301	0.5058040357
302	0.5054814165
303	0.5048606942
304	0.5045265601
305	0.5041652965
306	0.5039451853
307	0.5037430529
308	0.5033726743
309	0.5031951582
310	0.5030008511
311	0.5028378044
