iter	Passed	Remaining
0	151	151489
1	155	77346
2	158	52563
3	161	40205
4	164	32795
5	168	27900
6	171	24394
7	175	21712
8	178	19626
9	181	17986
10	184	16625
11	188	15541
12	191	14567
13	194	13730
14	198	13027
15	201	12411
16	204	11847
17	208	11371
18	211	10944
19	222	10911
20	225	10533
21	229	10193
22	232	9869
23	235	9582
24	238	9307
25	241	9060
26	245	8847
27	248	8630
28	251	8426
29	254	8242
30	258	8076
31	261	7918
32	265	7772
33	268	7622
34	271	7490
35	274	7358
36	278	7239
37	281	7126
38	284	7015
39	287	6909
40	293	6865
41	297	6783
42	302	6731
43	306	6664
44	311	6601
45	315	6539
46	319	6471
47	323	6414
48	327	6359
49	332	6313
50	336	6264
51	341	6221
52	345	6165
53	349	6115
54	353	6066
55	357	6024
56	361	5988
57	366	5948
58	370	5908
59	374	5874
60	379	5838
61	383	5797
62	387	5762
63	391	5728
64	395	5692
65	400	5664
66	404	5630
67	408	5596
68	412	5560
69	415	5524
70	419	5493
71	424	5465
72	428	5440
73	432	5408
74	435	5377
75	440	5353
76	443	5322
77	448	5296
78	458	5346
79	462	5318
80	466	5290
81	469	5257
82	472	5224
83	476	5191
84	479	5159
85	482	5128
86	485	5099
87	489	5068
88	492	5038
89	495	5011
90	499	4984
91	502	4957
92	505	4929
93	508	4901
94	512	4877
95	515	4851
96	518	4825
97	521	4799
98	524	4773
99	528	4753
100	531	4728
101	534	4704
102	537	4680
103	540	4657
104	543	4635
105	547	4613
106	550	4592
107	553	4571
108	559	4570
109	562	4549
110	565	4529
111	568	4508
112	572	4490
113	575	4470
114	578	4452
115	581	4435
116	585	4418
117	589	4403
118	592	4384
119	595	4367
120	598	4350
121	602	4334
122	605	4317
123	609	4302
124	612	4285
125	615	4269
126	619	4255
127	622	4237
128	625	4221
129	628	4207
130	631	4190
131	634	4174
132	638	4159
133	641	4143
134	644	4128
135	647	4114
136	651	4101
137	654	4089
138	657	4075
139	660	4060
140	664	4045
141	667	4031
142	670	4018
143	673	4004
144	676	3990
145	681	3983
146	684	3972
147	687	3959
148	697	3985
149	700	3971
150	704	3959
151	708	3952
152	711	3939
153	714	3926
154	717	3912
155	720	3899
156	724	3890
157	727	3878
158	731	3866
159	734	3854
160	737	3843
161	740	3832
162	743	3819
163	747	3808
164	750	3796
165	753	3786
166	756	3775
167	760	3764
168	763	3753
169	766	3741
170	770	3733
171	773	3722
172	776	3712
173	779	3702
174	783	3693
175	786	3682
176	789	3672
177	792	3661
178	796	3652
179	799	3643
180	802	3633
181	806	3623
182	809	3613
183	812	3602
184	815	3592
185	819	3584
186	822	3574
187	825	3564
188	828	3556
189	831	3546
190	835	3537
191	838	3528
192	841	3519
193	845	3511
194	849	3505
195	852	3498
196	856	3491
197	859	3482
198	862	3473
199	866	3464
200	869	3455
201	872	3445
202	875	3437
203	878	3428
204	882	3421
205	885	3412
206	888	3404
207	892	3396
208	895	3389
209	898	3381
210	901	3372
211	905	3364
212	908	3356
213	911	3348
214	914	3340
215	917	3331
216	921	3324
217	924	3315
218	927	3308
219	930	3300
220	934	3293
221	937	3285
222	940	3277
223	943	3269
224	946	3261
225	949	3253
226	953	3247
227	964	3266
228	967	3258
229	971	3250
230	974	3243
231	977	3235
232	981	3230
233	984	3224
234	988	3219
235	994	3218
236	1007	3244
237	1012	3242
238	1015	3234
239	1019	3227
240	1022	3220
241	1025	3212
242	1028	3205
243	1032	3198
244	1035	3190
245	1038	3183
246	1042	3176
